Ref,Qty,Desc,Mfg,MPN
C1,1,CAP CER 0.1UF 50V X7R 0805,Samsung Electro-Mechanics,CL21B104KBCNNNC
C2,1,CAP TANT 10UF 10% 16V 1206,KYOCERA AVX,TAJA106K016RNJ
J1,1,CONN RCA JACK MONO 3.2MM PCB,CUI Devices,RCJ-025
J2,1,CONN RCA JACK MONO 3.2MM PCB,CUI Devices,RCJ-026
J3,1,CONN RCA JACK MONO 3.2MM PCB,CUI Devices,RCJ-022
R1 R2 R3,3,RES 75 OHM 1% 1/8W 0805,YAGEO,RC0805FR-0775RL
H1 H2 H3,3,CONN HEADER VERT 3POS 2.54MM,Samtec Inc.,TSW-103-06-L-S
U1,1,IC AMP BUFFER 8SOIC,Texas Instruments,THS7314DR
