Ref,Qty,Desc,Mfg,MPN
R1,1,RES ARRAY 8 RES 47K OHM 2512,CTS Resistor Products,745C101473JP
U1,1,IC STATIC SHFT REG 8STG 16-SOIC,Texas Instruments,CD4021BM
