Ref,Qty,Desc,Mfg,MPN
H1,1,CONN HEADER VERT 7POS 2MM,TE Connectivity AMP Connectors,440054-7
J1,1,NES CONTROLLER SOCKET PTH,Kingworld,https://www.aliexpress.com/item/32828498563.html
